120 730
68 96 1
68 103 1
68 110 1
69 83 1
69 87 1
69 88 -1
69 92 1
69 100 1
69 109 1
69 115 1
70 74 1
70 89 -1
70 97 1
70 101 1
70 112 1
71 101 1
71 107 1
71 109 1
71 117 1
72 89 1
72 91 1
72 101 1
73 75 1
73 82 -1
73 85 1
73 96 1
73 102 1
73 106 1
74 77 1
74 90 1
74 103 1
74 113 1
74 119 1
76 89 -1
76 91 1
76 98 1
76 110 1
77 102 -1
77 108 1
78 101 1
78 106 1
78 112 1
79 82 1
79 83 1
79 84 1
79 105 1
79 107 1
80 88 1
80 92 1
80 96 1
80 97 1
80 117 1
81 91 1
81 95 1
81 113 1
82 83 1
82 94 1
83 112 1
84 90 1
84 91 1
84 94 -1
84 95 1
85 93 1
86 87 1
86 91 1
86 96 1
86 100 1
86 106 1
87 94 -1
87 116 1
88 91 1
88 94 1
88 108 1
88 114 -1
89 119 1
90 97 1
91 99 1
92 93 1
92 98 1
93 94 1
93 97 1
93 109 1
93 111 1
95 98 1
95 109 1
95 118 1
96 97 1
96 101 1
96 103 1
97 114 1
98 99 -1
98 109 -1
98 116 1
98 118 1
99 103 1
99 108 1
99 111 1
99 118 1
100 106 1
101 106 1
101 118 1
101 119 1
103 115 1
103 116 -1
104 110 1
104 119 1
105 118 1
106 107 1
106 114 1
108 115 1
109 118 1
109 119 1
111 114 1
113 114 1
117 119 -1
